t; alpha; omega
646; 3.1400000; 0.0000000
647; 3.1400000; 0.0000000
648; 3.1400000; 0.0000000
649; 3.1400000; -0.0000000
650; 3.1400000; -0.0000000
651; 3.1400000; -0.0000000
652; 3.1400000; -0.0000000
653; 3.1400000; -0.0000000
654; 3.1400000; -0.0000000
655; 3.1400000; -0.0000000
656; 3.1400000; -0.0000000
657; 3.1400000; -0.0000000
658; 3.1400000; -0.0000000
659; 3.1400000; -0.0000000
660; 3.1400000; -0.0000000
661; 3.1400000; -0.0000000
662; 3.1400000; -0.0000000
663; 3.1400000; -0.0000000
664; 3.1400000; -0.0000000
665; 3.1400000; -0.0000000
666; 3.1400000; -0.0000000
667; 3.1400000; -0.0000000
668; 3.1400000; -0.0000000
669; 3.1400000; -0.0000000
670; 3.1400000; -0.0000000
671; 3.1400000; -0.0000000
672; 3.1400000; -0.0000000
673; 3.1400000; -0.0000000
674; 3.1400000; -0.0000000
675; 3.1400000; -0.0000000
676; 3.1400000; -0.0000000
677; 3.1400000; -0.0000000
678; 3.1400000; -0.0000000
679; 3.1400000; -0.0000000
680; 3.1400000; -0.0000000
681; 3.1400000; -0.0000000
682; 3.1400000; -0.0000000
683; 3.1400000; -0.0000000
684; 3.1400000; -0.0000000
685; 3.1400000; -0.0000000
686; 3.1400000; -0.0000000
687; 3.1400000; -0.0000000
688; 3.1400000; -0.0000000
689; 3.1400000; -0.0000000
690; 3.1400000; -0.0000000
691; 3.1400000; -0.0000000
692; 3.1400000; -0.0000000
693; 3.1400000; -0.0000000
694; 3.1400000; -0.0000000
695; 3.1400000; -0.0000000
696; 3.1400000; -0.0000000
697; 3.1400000; -0.0000000
698; 3.1400000; -0.0000000
699; 3.1400000; -0.0000000
700; 3.1400000; -0.0000000
701; 3.1400000; -0.0000000
702; 3.1400000; -0.0000000
703; 3.1400000; -0.0000000
704; 3.1400000; -0.0000000
705; 3.1400000; -0.0000000
706; 3.1400000; -0.0000000
707; 3.1400000; -0.0000000
708; 3.1400000; -0.0000000
709; 3.1400000; -0.0000000
710; 3.1400000; -0.0000000
711; 3.1400000; -0.0000000
712; 3.1400000; -0.0000000
713; 3.1400000; -0.0000000
714; 3.1400000; -0.0000000
715; 3.1400000; -0.0000000
716; 3.1400000; -0.0000000
717; 3.1400000; -0.0000000
718; 3.1400000; -0.0000000
719; 3.1400000; -0.0000000
720; 3.1400000; -0.0000000
721; 3.1400000; -0.0000000
722; 3.1400000; -0.0000000
723; 3.1400000; -0.0000000
724; 3.1400000; -0.0000000
725; 3.1400000; -0.0000000
726; 3.1400000; -0.0000000
727; 3.1400000; -0.0000000
728; 3.1400000; -0.0000000
729; 3.1400000; -0.0000000
730; 3.1400000; -0.0000000
731; 3.1400000; -0.0000000
732; 3.1400000; -0.0000000
733; 3.1400000; -0.0000000
734; 3.1400000; -0.0000000
735; 3.1400000; -0.0000000
736; 3.1400000; -0.0000000
737; 3.1400000; -0.0000000
738; 3.1400000; -0.0000000
739; 3.1400000; -0.0000000
740; 3.1400000; -0.0000000
741; 3.1400000; -0.0000000
742; 3.1400000; -0.0000000
743; 3.1400000; -0.0000000
744; 3.1400000; -0.0000000
745; 3.1400000; -0.0000000
746; 3.1400000; -0.0000000
747; 3.1400000; -0.0000000
748; 3.1400000; -0.0000000
749; 3.1400000; -0.0000000
750; 3.1400000; -0.0000000
751; 3.1400000; -0.0000000
752; 3.1400000; -0.0000000
753; 3.1400000; -0.0000000
